# sresa2_mpi-echam5_1_Prcp,,,,,,,,,,,,,,
,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
1950-01-16T00:00:00Z,0.98471624,0.68789554,1.1439182,0.42466593,0.60689116,0.4998483,1.0226682,1.3857924,0.9039305,1.2723861,1.6325767,0.36713272,1.279124,0.90891314
1950-02-16T00:00:00Z,0.19942124,0.13135678,0.3477117,0.2469228,0.21407351,0.2656817,0.11996062,1.0670413,0.37462848,0.21784805,0.7831473,0.2319784,0.8852416,0.7378186
1950-03-15T00:00:00Z,1.5434592,1.1103977,2.7601402,0.65252507,1.1684223,0.97972673,1.9844596,1.093172,1.0618433,1.9279491,2.9171758,1.1984338,2.2788804,1.3958381
1950-04-15T00:00:00Z,0.5162175,0.42708436,0.65091085,0.3570165,0.6427969,1.2902255,0.26501155,1.6736956,1.6977695,0.2699401,1.9841685,0.5879118,1.4722018,1.6200478
1950-05-15T00:00:00Z,0.22556947,0.21039009,0.5689248,0.17067748,0.5812431,2.286718,0.13790447,1.8634535,1.7254316,0.050792422,1.4202877,0.32159394,1.5009956,1.9413682
1950-06-15T00:00:00Z,0.18145822,0.16554986,0.17841278,0.436473,0.21402228,2.5663328,0.08243525,1.7212832,3.215452,0.005293731,1.0704956,0.9165302,0.5236531,1.1089193
1950-07-15T00:00:00Z,1.8510381,1.3597963,1.5198034,1.4749188,1.188363,2.4354398,1.3732831,1.3361087,1.3453424,1.6411769,2.3793216,1.747557,1.5954658,1.5585971
1950-08-15T00:00:00Z,2.4555404,2.005245,2.4184897,1.7450649,1.7006959,1.3194128,1.9106815,2.638177,0.78496003,2.6164525,1.8253505,1.7899069,2.815229,2.0538566
1950-09-15T00:00:00Z,1.2699357,1.0018598,1.0578429,1.6793439,0.90255016,1.1517694,0.7542268,1.160575,1.2393028,0.72530484,1.4691075,1.8115683,1.3886629,1.2098684
1950-10-15T00:00:00Z,2.1369843,1.7565434,2.4541836,1.9034842,2.0198565,1.4720104,1.4264501,2.623873,2.0641582,1.5314658,2.6304376,1.4790092,3.345424,2.5634856
1950-11-15T00:00:00Z,1.2711202,0.92729837,2.4854295,0.53820354,0.8777709,0.24481517,1.5277902,1.7330477,0.48436573,2.3132126,1.2533681,0.45809555,2.4070373,1.2323152
1950-12-15T00:00:00Z,1.0954216,0.81334674,1.246375,0.72609514,0.70177,0.28185272,0.88066804,1.501156,0.41301662,0.95765084,1.2190266,0.6523399,1.6755042,0.88590467
1951-01-16T00:00:00Z,0.38478482,0.24935375,0.4659931,0.5669581,0.24990493,0.13112353,0.32395953,0.82382464,0.0998693,0.2676349,0.73127204,0.43961266,0.67785126,0.42565638
1951-02-16T00:00:00Z,0.7588102,0.5192719,0.6839303,0.6357804,0.35397404,0.16939609,0.47272784,0.7112763,0.30849028,0.70535773,1.1581612,0.649216,0.7762212,0.5452076
1951-03-15T00:00:00Z,1.0263855,0.7208629,1.5092853,0.62099034,0.869979,1.0019094,0.9004099,1.6581054,1.1519758,1.068726,2.2093325,0.660051,2.081362,1.6431904
1951-04-15T00:00:00Z,0.22419006,0.20657161,0.87478364,0.10437301,0.52643436,1.1381071,0.31629005,1.4506758,1.3879445,0.15009727,1.4586912,0.2845925,1.7539208,1.772496
1951-05-15T00:00:00Z,1.0643615,0.8396528,1.1074007,0.89166945,1.0331918,1.9206356,0.5720493,1.5058306,1.7616392,0.5767491,2.016415,1.6054912,1.8715874,1.7925092
1951-06-15T00:00:00Z,0.23784812,0.18457727,0.2786183,0.3535156,0.29425433,1.4801247,0.11343087,2.0346293,1.8271289,0.006736856,0.81188786,0.66669536,0.9047202,1.2772889
1951-07-15T00:00:00Z,1.6941252,1.1988264,0.4336905,2.1652174,0.6486862,1.0295374,0.38688183,0.7214764,0.60043514,0.7221029,1.5144873,2.117182,0.7111239,0.6975095
1951-08-15T00:00:00Z,2.343008,1.9265311,1.0018853,2.9491158,1.1745666,1.4831909,0.6598157,0.9187758,0.8791234,0.90368927,2.6061623,3.2992418,1.2632337,1.1016566
1951-09-15T00:00:00Z,2.4602408,1.9574153,0.86211944,3.4023328,1.6896625,1.3382584,0.58693975,2.4940906,0.767256,0.9058769,2.982763,3.1993876,1.7235563,1.4889756
1951-10-15T00:00:00Z,0.3401139,0.265551,0.17240149,0.6699672,0.20732947,0.22210035,0.021275003,1.4978878,0.52300066,0.021747062,0.53210074,0.63405395,0.77179587,0.7309595
1951-11-15T00:00:00Z,0.82634336,0.67076665,0.61654794,0.80501807,0.4845345,0.45728847,0.3395014,0.6862499,0.51538503,0.4725392,1.8588045,1.0641416,0.7077238,0.6057256
1951-12-15T00:00:00Z,0.3731232,0.26433128,0.42916214,0.40099964,0.25142732,0.17733447,0.32082427,1.2019924,0.2030488,0.27187696,0.8007691,0.32407498,0.63237154,0.40826204
1952-01-16T00:00:00Z,0.22226277,0.15531866,0.66862136,0.08391789,0.33081686,0.17248923,0.4450727,1.6413082,0.30219123,0.37446666,0.58532864,0.09791412,1.1478426,0.67640704
1952-02-16T00:00:00Z,0.3074075,0.21204582,0.36476123,0.16914532,0.14972478,0.08994827,0.27503592,0.61507833,0.13693681,0.5213806,0.4264594,0.0975693,0.4954609,0.347241
1952-03-15T00:00:00Z,0.17315917,0.11912681,0.7399831,0.24779418,0.2366,0.7594132,0.29113087,1.6325788,1.1048276,0.01537497,1.0190078,0.2360133,1.2208537,1.3301057
1952-04-15T00:00:00Z,0.18333972,0.18046917,0.6536495,0.04148898,0.4888704,0.9454475,0.21606094,1.4099739,1.0135357,0.08728672,1.25719,0.06957381,1.5907758,1.6297516
1952-05-15T00:00:00Z,0.35457516,0.31860185,0.7839584,0.25198936,0.46419334,1.5137299,0.40264735,1.8921598,1.4287262,0.25278607,1.3220842,0.7103081,1.2321762,1.2478837
1952-06-15T00:00:00Z,0.51751757,0.42948425,0.45123905,0.795874,0.4266709,2.7678082,0.4321933,0.44396913,2.0156372,0.5183089,1.7196946,1.4794368,0.5025267,0.94394034
1952-07-15T00:00:00Z,2.1874876,1.572626,1.2499778,2.1526666,0.92081785,0.8731582,1.1004723,0.54074174,0.47256023,1.3308855,1.8554132,1.9355968,1.1786427,0.8375463
1952-08-15T00:00:00Z,1.4103404,1.0616935,0.2405636,3.1774223,0.284266,1.176528,0.1842892,0.22509815,0.6222344,0.2751407,1.7081529,3.1559877,0.24702887,0.49036816
1952-09-15T00:00:00Z,1.8117573,1.396915,1.4166864,2.397792,1.4199893,0.76245195,0.8567446,2.9359643,0.7288152,1.0359666,1.7036893,1.8523945,2.4623816,1.81771
1952-10-15T00:00:00Z,0.14114821,0.12264744,0.67247534,0.006289124,0.64716727,0.3772189,0.24981827,1.0597717,0.46970883,0.11300534,0.67730826,0.007253787,1.2300457,1.0299487
1952-11-15T00:00:00Z,0.88196594,0.6820744,0.68551534,0.84888875,0.5133609,0.50302106,0.37632436,1.3765144,0.89111084,0.69182205,1.810457,0.9266236,0.98113793,0.8418111
1952-12-15T00:00:00Z,0.9570896,0.64263743,0.69408935,0.9158463,0.46769932,0.36698908,0.6185238,0.38185856,0.5257803,0.82613087,1.698339,0.98628163,0.64435905,0.5341799
1953-01-16T00:00:00Z,0.47005188,0.33145523,1.1003174,0.11224397,0.72668743,0.30188945,0.68220437,2.266611,0.57893425,0.63675886,1.2810813,0.110076286,2.2371612,1.5071161
1953-02-16T00:00:00Z,0.83847743,0.6082547,2.068485,0.40573713,0.7305278,0.3893702,1.2420119,2.1045837,0.6112735,0.9729151,1.4218365,0.4334332,2.0333974,1.1087947
1953-03-15T00:00:00Z,0.5937429,0.4159875,2.4677756,0.12436958,0.52595264,0.49709648,1.7613007,1.4028281,0.7060899,1.2592775,0.94967186,0.18386638,2.0208468,1.235314
1953-04-15T00:00:00Z,0.8661162,0.69591457,1.0623584,0.54529226,0.70730186,1.3778672,0.6795636,1.1159803,1.2892449,0.8837126,2.2326558,0.7704274,1.4709535,1.3975997
1953-05-15T00:00:00Z,0.70990694,0.6336333,0.85499376,0.6754616,1.0820941,3.4446611,0.2980471,1.9064889,2.4338377,0.12442988,3.1996882,1.3773187,1.873343,2.5505986
1953-06-15T00:00:00Z,0.2528408,0.23364383,0.28566182,0.1931205,0.35907665,1.0335084,0.1198938,0.8828353,0.8874804,0.054798417,0.84139997,0.54193544,0.6485676,0.7470832
1953-07-15T00:00:00Z,0.9437872,0.7420774,0.5644668,1.0683722,0.50505996,1.8192457,0.4398526,0.8104039,1.5095805,0.44600683,1.358691,1.033154,0.7998986,1.19179
1953-08-15T00:00:00Z,1.9010489,1.5790892,0.8615479,2.0722597,1.0624965,0.66247976,0.55577886,1.2162309,0.29583865,0.6234321,2.0581071,2.3903775,1.227291,0.9010608
1953-09-15T00:00:00Z,0.40043816,0.31915495,0.23928316,0.34623465,0.2854646,0.18891267,0.22651213,0.889012,0.19259799,0.531871,0.3078387,0.66000885,0.5018364,0.44846186
1953-10-15T00:00:00Z,1.1052759,0.80662847,0.61855084,1.9908243,0.5258463,0.68331563,0.309261,1.3664628,1.3455253,0.5017225,1.124676,2.0689209,1.2422141,1.2017145
1953-11-15T00:00:00Z,0.8832092,0.67860174,1.4412843,0.2152117,0.8884527,0.34841025,0.75284815,1.8145205,0.67515814,1.1775326,1.2716961,0.2070594,2.133131,1.4120458
1953-12-15T00:00:00Z,1.3163683,0.9821881,2.204179,0.3416591,1.4165658,0.22405018,1.4081937,2.5339692,0.42713413,1.143076,1.2526511,0.2574368,3.3548722,1.5332438
1954-01-16T00:00:00Z,0.17052686,0.12125513,0.39689624,0.053891722,0.24795827,0.12942141,0.20829481,1.4243975,0.29745537,0.13583875,0.3574228,0.060873732,0.9177048,0.56975263
1954-02-16T00:00:00Z,1.2950304,0.87570566,1.5699797,0.7653204,0.6481148,0.1492529,1.238988,0.7467456,0.24344796,2.024715,1.393825,0.817182,1.3580972,0.64638215
1954-03-15T00:00:00Z,0.79985934,0.5823449,1.0353407,0.2855146,0.9088998,0.73791367,0.5958487,1.9445013,1.0697477,0.99553794,1.6377772,0.31488648,2.0974224,1.8835412
1954-04-15T00:00:00Z,0.7145161,0.56535506,2.1229322,0.13833514,0.87147397,0.9012506,1.3027968,2.750901,1.5190108,1.053963,1.1446532,0.12020326,2.8526723,2.0206857
1954-05-15T00:00:00Z,0.24176918,0.2254924,0.7654967,0.29334486,0.61107117,2.228305,0.25972795,2.8506234,1.9364284,0.076776445,1.564745,0.75416213,1.7905818,2.1027732
1954-06-15T00:00:00Z,0.12244011,0.109030694,0.7053936,0.078139536,0.40373427,2.4651704,0.3461973,1.7351592,1.374479,0.14751612,0.9619888,0.22019318,1.3663622,1.7070714
1954-07-15T00:00:00Z,2.0481064,1.5017378,0.64809287,2.248867,0.9440695,1.1672798,0.61420655,0.46527424,1.0318546,0.85479,2.1385958,2.3538811,0.83179855,0.8532436
1954-08-15T00:00:00Z,2.0923944,1.6624029,1.4090409,2.7684305,1.2600021,1.9557327,1.1638975,1.3133653,1.3510196,2.0131094,2.2847219,2.948966,1.6299243,1.3775971
1954-09-15T00:00:00Z,0.87848526,0.752249,0.26340243,1.0195756,0.8837599,1.546784,0.06521042,0.67196184,0.8506686,0.019391034,2.0528567,1.6112756,0.75232804,1.0967686
